timestamp,latitude,longitude
1580582198,4.72458,100.684
1580582206,4.74248,100.678
1580582208,4.74903,100.676
1580582215,4.76482,100.671
1580582216,4.76011,100.673
1580582220,4.77607,100.668
1580582230,4.79869,100.661
1580582238,4.8163,100.655
1580582246,4.83696,100.649
1580582253,4.85293,100.644
1580582254,4.85293,100.644
1580582272,4.89867,100.629
1580582276,4.90878,100.626
1580582277,4.91582,100.624
1580582284,4.92686,100.62
1580582294,4.94911,100.613
1580582303,4.9688,100.607
1580582311,4.98076,100.603
1580582318,5.00185,100.596
1580582327,5.02713,100.588
1580582331,5.03863,100.585
1580582334,5.04589,100.582
1580582339,5.05971,100.578
1580582341,5.06181,100.577
1580582352,5.08527,100.57
1580582355,5.09207,100.567
1580582359,5.10356,100.564
1580582363,5.11293,100.561
1580582365,5.11763,100.559
1580582367,5.12233,100.558
1580582369,5.12726,100.556
1580582371,5.1324,100.554
1580582373,5.13666,100.553
1580582377,5.14389,100.551
1580582379,5.15071,100.549
1580582383,5.16032,100.545
1580582386,5.16481,100.544
1580582391,5.17889,100.54
1580582393,5.18358,100.538
1580582397,5.19342,100.535
1580582399,5.19812,100.533
1580582401,5.20281,100.532
1580582407,5.21713,100.527
1580582409,5.22162,100.526
1580582411,5.22605,100.524
1580582425,5.25421,100.515
1580582436,5.2793,100.507
1580582439,5.2901,100.504
1580582447,5.31049,100.497
1580582450,5.24788,100.517
1580582455,5.33372,100.49
1580582455,5.32855,100.491
1580582459,5.33816,100.488
1580582467,5.35737,100.482
1580582473,5.36911,100.478
1580582477,5.37634,100.476
1580582484,5.39273,100.471
1580582496,5.42294,100.461
1580582501,5.43674,100.456
1580582509,5.45504,100.45
1580582513,5.46442,100.447
1580582517,5.47589,100.443
1580582521,5.48268,100.441
1580582530,5.50168,100.435
1580582538,5.51999,100.429
1580582548,5.54535,100.42
1580582556,5.56322,100.415
1580582557,5.56839,100.413
1580582565,5.58534,100.407
1580582571,5.60156,100.402
1580582575,5.61048,100.399
1580582585,5.6338,100.391
1580582597,5.66153,100.382
1580582602,5.67095,100.379
1580582610,5.68904,100.373
1580582617,5.7074,100.367
1580582625,5.72714,100.361
1580582633,5.74612,100.355
1580582636,5.75226,100.353
1580582638,5.75716,100.351
1580582638,5.75507,100.352
1580582651,5.78792,100.341
1580582656,5.79758,100.338
1580582664,5.81638,100.332
1580582674,5.84106,100.323
1580582681,5.86037,100.317
1580582686,5.86907,100.314
1580582689,5.88178,100.31
1580582693,5.88769,100.308
1580582695,5.8922,100.307
1580582700,5.9014,100.304
1580582710,5.92545,100.296
1580582718,5.94435,100.29
1580582728,5.96439,100.283
1580582732,5.97382,100.28
1580582740,5.99652,100.273
1580582750,6.00856,100.269
1580582750,6.0206,100.265
1580582759,6.04257,100.257
1580582768,6.06147,100.251
1580582775,6.0827,100.244
1580582784,6.09923,100.239
1580582791,6.11554,100.234
1580582798,6.13368,100.228
1580582803,6.1462,100.224
1580582806,6.15559,100.22
1580582812,6.16576,100.217
1580582816,6.18013,100.212
1580582820,6.18484,100.211
1580582826,6.19945,100.206
1580582836,6.22012,100.199
1580582844,6.24248,100.192
1580582848,6.25186,100.189
1580582856,6.27045,100.183
1580582866,6.29326,100.175
1580582875,6.31369,100.168
1580582876,6.3184,100.167
1580582883,6.3372,100.161
1580582892,6.35385,100.155
1580582896,6.36443,100.152
1580582904,6.37793,100.147
1580582912,6.39162,100.141
1580582922,6.42239,100.124
1580582926,6.43108,100.119
1580582936,6.44627,100.107
1580582938,6.45754,100.098
1580582938,6.45549,100.1
1580582942,6.46084,100.095
1580582950,6.47598,100.08
1580582952,6.47821,100.077
1580582966,6.49939,100.054
1580582978,6.52113,100.03
1580582987,6.53812,100.011
1580582988,6.53812,100.011
1580582996,6.55238,99.9955
1580583002,6.56195,99.9848
1580583010,6.57518,99.9702
1580583025,6.6026,99.9397
1580583044,6.63391,99.9048
1580583050,6.6431,99.8946
1580583060,6.65934,99.8765
1580583068,6.67465,99.8596
1580583078,6.69026,99.8423
1580583086,6.70436,99.8266
1580583101,6.72908,99.7992
1580583113,6.75215,99.7737
1580583114,6.74794,99.7783
1580583120,6.76171,99.7631
1580583134,6.7787,99.7443
1580583160,6.82847,99.6891
1580583177,6.85752,99.6569
1580583198,6.89117,99.6197
1580583200,6.89471,99.6158
1580583209,6.90802,99.6011
1580583218,6.92483,99.5825
1580583226,6.93979,99.5659
1580583230,6.94821,99.5566
1580583231,6.94974,99.5549
1580583234,6.95293,99.5514
1580583242,6.96437,99.5387
1580583248,6.97595,99.5259
1580583252,6.98251,99.5186
1580583278,7.02663,99.4699
1580583286,7.04172,99.4538
1580583288,7.04512,99.4502
1580583294,7.05391,99.4409
1580583298,7.06059,99.4338
1580583308,7.07831,99.415
1580583316,7.09177,99.4008
1580583322,7.10261,99.3894
1580583331,7.1169,99.3743
1580583336,7.12584,99.3648
1580583346,7.14633,99.3431
1580583346,7.14445,99.3451
1580583351,7.15461,99.3344
1580583354,7.15787,99.3309
1580583362,7.17091,99.3171
1580583369,7.18121,99.3061
1580583375,7.19255,99.2941
1580583382,7.20667,99.2791
1580583392,7.22209,99.2626
1580583396,7.22914,99.2551
1580583404,7.2432,99.2402
1580583412,7.25706,99.2253
1580583416,7.26532,99.2165
1580583417,7.26686,99.2149
1580583421,7.27387,99.2074
1580583429,7.28775,99.1926
1580583431,7.28943,99.1908
1580583439,7.30572,99.1734
1580583449,7.32179,99.1562
1580583457,7.33479,99.1423
1580583465,7.34999,99.126
1580583469,7.3548,99.1209
1580583469,7.3548,99.1209
1580583473,7.36331,99.1118
1580583481,7.377,99.0971
1580583489,7.39049,99.0827
1580583499,7.40688,99.0651
1580583510,7.4228,99.0482
1580583518,7.43835,99.0316
1580583522,7.43835,99.0316
1580583579,7.5443,98.9182
1580583584,7.55131,98.9108
1580583590,7.56022,98.9012
1580583590,7.56022,98.9012
1580583603,7.58518,98.8745
1580583613,7.60142,98.8571
1580583616,7.60142,98.8571
1580583661,7.68456,98.7681
1580583690,7.73223,98.717
1580583694,7.74055,98.708
1580583698,7.73223,98.717
1580583858,8.02346,98.4247
1580583889,7.74055,98.708
1580583900,8.09422,98.3294
1580583909,8.12029,98.3449
1580583965,8.22661,98.2595
1580584004,8.23302,98.1974
1580584020,8.33381,98.1745
1580584076,8.44102,98.0901
1580584181,8.64557,97.9295
1580584337,8.94729,97.6927
1580584503,9.26893,97.4399
1580584558,9.37601,97.3556
1580584614,9.48331,97.271
1580584770,9.78464,97.0332
1580584936,10.1065,96.7786
1580584991,10.2139,96.6935
1580585047,10.321,96.6086
1580585158,10.5356,96.4382
1580585213,10.6427,96.353
1580585269,10.75,96.2676
1580585430,11.0608,96.0198
1580585485,11.1681,95.9341
1580585541,11.2753,95.8484
1580585647,11.4788,95.6855
1580585697,11.5753,95.6081
1580585752,11.682,95.5225
1580585913,11.992,95.2732
1580586074,12.3019,95.0232
1580586129,12.4086,94.937
1580586179,12.5048,94.8591
1580586390,12.9108,94.5298
1580586440,13.007,94.4517
1580586496,13.1135,94.3649
1580586601,13.3161,94.1997
1580586657,13.4224,94.1129
1580586768,13.6353,93.9387
1580586818,13.7316,93.8598
1580586918,13.9236,93.7022
1580587018,14.1155,93.5443
1580587074,14.2218,93.4567
1580587179,14.424,93.2898
1580587233,14.5272,93.2044
1580587339,14.7294,93.0369
1580587605,15.2387,92.6132
1580587705,15.4297,92.4535
1580587761,15.5356,92.3648
1580587867,15.7376,92.1954
1580587978,15.9487,92.0178
1580588028,16.0446,91.937
1580588194,16.3617,91.669
1580588244,16.457,91.5882
1580588511,16.9634,91.1573
1580588561,17.0585,91.076
1580588672,17.2687,90.896
1580588727,17.3737,90.8058
1580588883,17.6688,90.5518
1580588994,17.879,90.3701
1580589099,18.0787,90.1971
1580589155,18.1837,90.1059
1580589321,18.4982,89.8317
1580589377,18.6029,89.7402
1580589805,19.4089,89.0303
1580589855,19.5033,88.9466
1580589955,19.6915,88.7792
1580590010,19.7958,88.6862
1580590060,19.8897,88.6023
1580590111,19.9838,88.5182
1580590477,20.671,87.8994
1580590527,20.7646,87.8145
1580590739,21.1595,87.4548
1580590789,21.2529,87.3694
1580590948,21.5501,87.0965
1580590998,21.6433,87.0107
1580591048,21.7364,86.9247
1580591154,21.9326,86.7431
1580591310,22.2218,86.4742
1580591521,22.6135,86.1075
1580591632,22.8189,85.9141
1580591687,22.9216,85.8171
1580591737,23.0141,85.7296
1580591788,23.1067,85.6418
1580591888,23.2914,85.4661
1580591943,23.3936,85.3687
1580591998,23.4958,85.271
1580592054,23.5979,85.1732
1580592109,23.6999,85.0753
1580592159,23.7921,84.9866
1580592197,21.3546,84.2384
1580592201,21.36,84.232
1580592205,21.3655,84.2254
1580592209,21.3712,84.2187
1580592221,21.3874,84.1994
1580592225,21.3932,84.1925
1580592237,21.4102,84.1724
1580592245,21.4208,84.1597
1580592249,21.4262,84.1533
1580592257,21.4371,84.1404
1580592261,21.4429,84.1335
1580592269,21.4543,84.1199
1580592277,21.4651,84.1072
1580592285,21.4765,84.0936
1580592295,21.4897,84.0778
1580592301,21.4983,84.0675
1580592305,21.5037,84.0611
1580592313,21.5147,84.048
1580592317,21.5204,84.0412
1580592325,21.531,84.0286
1580592333,21.5421,84.0154
1580592345,21.5576,83.9969
1580592353,21.5698,83.9823
1580592357,21.5748,83.9764
1580592361,21.5804,83.9697
1580592369,21.5918,83.9561
1580592373,21.5967,83.9502
1580592381,21.6083,83.9365
1580592389,21.6193,83.9233
1580592397,21.6297,83.9109
1580592405,21.6408,83.8976
1580592409,21.6456,83.8919
1580592421,21.6628,83.8713
1580592429,21.6735,83.8585
1580592434,21.6796,83.8513
1580592441,21.6907,83.838
1580592445,21.6959,83.8317
1580592449,21.7012,83.8253
1580592457,21.7122,83.8122
1580592461,21.718,83.8053
1580592470,21.7291,83.792
1580592477,21.7401,83.7788
1580592485,21.7509,83.7659
1580592493,21.7617,83.7529
1580592498,21.7672,83.7463
1580592505,21.7782,83.7332
1580592510,21.784,83.7261
1580592513,21.7892,83.7199
1580592521,21.8002,83.7067
1580592529,21.8111,83.6936
1580592537,21.8224,83.6801
1580592541,21.8274,83.6741
1580592549,21.838,83.6614
1580592557,21.8495,83.6476
1580592565,21.8605,83.6344
1580592569,21.8659,83.6279
1580592573,21.8713,83.6215
1580592581,21.8821,83.6085
1580592589,21.8932,83.5951
1580592597,21.9044,83.5816
1580592605,21.9152,83.5686
1580592609,21.921,83.5618
1580592618,21.9318,83.5487
1580592634,21.9526,83.5238
1580592637,21.9589,83.5162
1580592641,21.9648,83.5091
1580592650,21.9754,83.4965
1580592657,21.9862,83.4834
1580592665,21.9975,83.4697
1580592669,22.0027,83.4635
1580592678,22.0141,83.4498
1580592681,22.0195,83.4432
1580592694,22.0352,83.4242
1580592702,22.0467,83.4104
1580592710,22.0573,83.3977
1580592714,22.0632,83.3904
1580592726,22.0792,83.3711
1580592730,22.0851,83.3641
1580592738,22.0959,83.351
1580592746,22.1064,83.3383
1580592753,22.1173,83.3252
1580592762,22.1287,83.3114
1580592769,22.1386,83.2994
1580592777,22.1506,83.2849
1580592785,22.1611,83.2722
1580592789,22.1665,83.2657
1580592797,22.1775,83.2524
1580592801,22.1827,83.2461
1580592805,22.1885,83.2391
1580592813,22.1994,83.2259
1580592826,22.2156,83.2063
1580592833,22.2264,83.1933
1580592841,22.2375,83.1798
1580592845,22.2422,83.1741
1580592853,22.2533,83.1607
1580592861,22.2643,83.1474
1580592865,22.2691,83.1415
1580592873,22.2807,83.1274
1580592877,22.2855,83.1217
1580592885,22.2959,83.109
1580592893,22.3074,83.0951
1580592901,22.318,83.0822
1580592909,22.3287,83.0692
1580592915,22.3369,83.0592
1580592923,22.3459,83.0482
1580592925,22.3501,83.0432
1580592933,22.3596,83.0317
1580592957,22.3931,82.9909
1580592961,22.3988,82.9841
1580592969,22.41,82.9705
1580592977,22.4209,82.9572
1580592985,22.4314,82.9444
1580592993,22.442,82.9315
1580593001,22.4532,82.9179
1580593005,22.4586,82.9113
1580593009,22.4636,82.9053
1580593019,22.4769,82.889
1580593023,22.4824,82.8823
1580593031,22.4932,82.8692
1580593039,22.504,82.8561
1580593047,22.5152,82.8423
1580593055,22.5257,82.8295
1580593059,22.5311,82.823
1580593063,22.5366,82.8162
1580593067,22.5419,82.8097
1580593085,22.5662,82.7802
1580593097,22.5817,82.7612
1580593101,22.5871,82.7547
1580593127,22.6222,82.7117
1580593131,22.6278,82.7048
1580593139,22.6382,82.6922
1580593157,22.6493,82.6786
1580593169,22.6773,82.6444
1580593181,22.6929,82.6252
1580593185,22.7002,82.6162
1580593193,22.7108,82.6034
1580593197,22.7161,82.5968
1580593205,22.7252,82.5857
1580593209,22.7302,82.5795
1580593219,22.7434,82.5633
1580593225,22.7526,82.5521
1580593235,22.767,82.5344
1580593271,22.8127,82.4784
1580593289,22.8383,82.4469
1580593301,22.8547,82.4267
1580593315,22.8732,82.404
1580593323,22.8822,82.3929
1580593333,22.8957,82.3762
1580593339,22.9048,82.3652
1580593347,22.9154,82.3521
1580593363,22.9374,82.3251
1580593371,22.9468,82.3135
1580593443,23.0412,82.1973
1580593498,23.1192,82.1125
1580593513,23.1337,82.0806
1580593535,23.1628,82.0434
1580593556,23.1872,82.0122
1580593560,23.1933,82.0044
1580593592,23.2342,81.9525
1580593632,23.2858,81.8867
1580593732,23.4203,81.7267
1580593899,23.6636,81.4814
1580593956,23.7032,81.3516
1580593968,23.7181,81.3325
1580593984,23.7363,81.3091
1580594088,23.8751,81.1422
1580594144,23.955,81.0587
1580594255,24.1179,80.8951
1580594310,24.1997,80.8141
1580594360,24.2737,80.7412
1580594466,24.4301,80.5869
1580594521,24.5122,80.5058
1580594571,24.5863,80.4325
1580594627,24.6679,80.3516
1580594677,24.7422,80.2778
1580594732,24.824,80.1965
1580594788,24.9061,80.1147
1580594838,24.9801,80.0409
1580594888,25.0539,79.9671
1580594944,25.1356,79.8853
1580595054,25.299,79.7213
1580595311,25.6753,79.3409
1580595366,25.7567,79.2582
1580595477,25.9195,79.0923
1580595527,25.9929,79.0174
1580595577,26.0661,78.9424
1580595633,26.1473,78.8592
1580595650,26.0171,78.8708
1580595654,26.0229,78.8643
1580595688,26.2285,78.7757
1580595708,26.0946,78.7859
1580595719,26.0946,78.7859
1580595738,26.3016,78.7004
1580595769,26.175,78.7
1580595794,26.3826,78.6169
1580595804,26.2244,78.6481
1580595836,26.267,78.6029
1580595887,26.267,78.6029
1580595926,26.385,78.4772
1580595940,26.4049,78.4561
1580595940,26.4049,78.4561
1580595954,26.4224,78.4374
1580595959,26.4329,78.4261
1580595959,26.429,78.4304
1580595975,26.4521,78.4057
1580595980,26.4573,78.4002
1580595984,26.4625,78.3945
1580595990,26.4692,78.3875
1580595994,26.4751,78.3811
1580596002,26.4861,78.3694
1580596010,26.4969,78.3579
1580596013,26.5026,78.3518
1580596019,26.5079,78.3461
1580596022,26.5134,78.3402
1580596032,26.5258,78.3269
1580596042,26.5397,78.3121
1580596050,26.5496,78.3015
1580596057,26.5605,78.29
1580596062,26.5659,78.2842
1580596068,26.5727,78.2769
1580596073,26.578,78.2712
1580596074,26.5826,78.2663
1580596074,26.5852,78.2634
1580596082,26.5931,78.255
1580596094,26.608,78.2391
1580596104,26.6209,78.2253
1580596116,26.6375,78.2075
1580596122,26.6452,78.1993
1580596128,26.6508,78.1933
1580596129,26.6547,78.189
1580596135,26.6634,78.1798
1580596137,26.6641,78.179
1580596142,26.671,78.1716
1580596147,26.6762,78.1661
1580596151,26.6816,78.1603
1580596161,26.6944,78.1465
1580596166,26.7027,78.1377
1580596170,26.7077,78.1323
1580596176,26.7162,78.1232
1580596186,26.7286,78.1097
1580596190,26.7336,78.1044
1580596196,26.7436,78.0937
1580596198,26.7449,78.0923
1580596202,26.7501,78.0866
1580596224,26.7791,78.0555
1580596232,26.7897,78.0441
1580596236,26.7951,78.0383
1580596240,26.8001,78.0329
1580596248,26.8111,78.0211
1580596251,26.8149,78.017
1580596257,26.8253,78.0058
1580596258,26.824,78.0072
1580596268,26.836,77.9943
1580596272,26.8412,77.9886
1580596277,26.8466,77.9829
1580596285,26.857,77.9716
1580596288,26.8618,77.9664
1580596296,26.8724,77.9551
1580596300,26.8776,77.9495
1580596313,26.894,77.9318
1580596315,26.8991,77.9263
1580596320,26.9042,77.9208
1580596331,26.9161,77.9079
1580596340,26.9291,77.8939
1580596350,26.9429,77.879
1580596357,26.9533,77.8678
1580596362,26.9587,77.8618
1580596372,26.9718,77.8477
1580596376,26.9789,77.8402
1580596376,26.9795,77.8395
1580596382,26.9847,77.8338
1580596391,26.9948,77.8229
1580596400,27.0082,77.8083
1580596407,27.0143,77.8017
1580596414,27.026,77.7891
1580596424,27.0382,77.7759
1580596432,27.0493,77.7638
1580596438,27.0574,77.7551
1580596442,27.063,77.749
1580596450,27.073,77.7382
1580596456,27.0809,77.7296
1580596460,27.086,77.7242
1580596474,27.1041,77.7045
1580596478,27.1089,77.6993
1580596482,27.1136,77.6943
1580596489,27.123,77.6841
1580596490,27.1236,77.6833
1580596495,27.1319,77.6744
1580596498,27.1356,77.6703
1580596508,27.1473,77.6576
1580596524,27.168,77.635
1580596539,27.1865,77.6149
1580596549,27.1994,77.6017
1580596553,27.2076,77.5946
1580596557,27.2125,77.5908
1580596559,27.2165,77.5879
1580596560,27.2181,77.5868
1580596568,27.2302,77.5794
1580596578,27.2484,77.5707
1580596582,27.2552,77.5681
1580596594,27.2782,77.5596
1580596598,27.2847,77.5573
1580596608,27.3029,77.5507
1580596612,27.3148,77.5465
1580596614,27.3175,77.5455
1580596618,27.3246,77.543
1580596620,27.3295,77.5413
1580596627,27.3387,77.5381
1580596631,27.3462,77.5354
1580596635,27.3535,77.5328
1580596643,27.3665,77.5283
1580596650,27.3842,77.5221
1580596654,27.3919,77.5194
1580596658,27.3985,77.5171
